domain,problem,time,result
sokoban-opt08-strips,p05.pddl,46.327417850494385,NON_ROBUST_SINGLE_AGENT
sokoban-opt08-strips,p03.pddl,50.35721969604492,NON_ROBUST_SINGLE_AGENT
sokoban-opt08-strips,p23.pddl,60.13285541534424,NON_ROBUST_SINGLE_AGENT
sokoban-opt08-strips,p14.pddl,62.46215462684631,NON_ROBUST_SINGLE_AGENT
sokoban-opt08-strips,p08.pddl,69.88146352767944,NON_ROBUST_SINGLE_AGENT
sokoban-opt08-strips,p30.pddl,79.30217266082764,NON_ROBUST_SINGLE_AGENT
sokoban-opt08-strips,p25.pddl,81.59020161628723,NON_ROBUST_SINGLE_AGENT
sokoban-opt08-strips,p27.pddl,92.07149386405945,NON_ROBUST_SINGLE_AGENT
sokoban-opt08-strips,p12.pddl,107.33784747123718,NON_ROBUST_SINGLE_AGENT
sokoban-opt08-strips,p10.pddl,108.66572737693787,NON_ROBUST_SINGLE_AGENT
sokoban-opt08-strips,p04.pddl,112.7195839881897,NON_ROBUST_SINGLE_AGENT
sokoban-opt08-strips,p06.pddl,73.37616038322449,NON_ROBUST_SINGLE_AGENT
sokoban-opt08-strips,p02.pddl,49.86893606185913,NON_ROBUST_SINGLE_AGENT
sokoban-opt08-strips,p18.pddl,160.8385591506958,NON_ROBUST_SINGLE_AGENT
sokoban-opt08-strips,p26.pddl,102.25944328308105,NON_ROBUST_SINGLE_AGENT
sokoban-opt08-strips,p01.pddl,62.82615780830383,NON_ROBUST_SINGLE_AGENT
pipesworld-tankage,p24-net3-b14-g5-t60.pddl,8.318771839141846,NON_ROBUST_SINGLE_AGENT
sokoban-opt08-strips,p13.pddl,175.45538997650146,NON_ROBUST_SINGLE_AGENT
sokoban-opt08-strips,p16.pddl,231.4584879875183,NON_ROBUST_SINGLE_AGENT
pipesworld-tankage,p46-net5-b26-g6-t50.pddl,17.196956872940063,NON_ROBUST_SINGLE_AGENT
pipesworld-tankage,p14-net2-b12-g5-t30.pddl,5.031662225723267,NON_ROBUST_SINGLE_AGENT
pipesworld-tankage,p17-net2-b16-g5-t20.pddl,5.6769959926605225,NON_ROBUST_SINGLE_AGENT
pipesworld-tankage,p30-net3-b20-g8-t70.pddl,10.4866464138031,NON_ROBUST_SINGLE_AGENT
sokoban-opt08-strips,p19.pddl,171.88238835334778,NON_ROBUST_SINGLE_AGENT
pipesworld-tankage,p18-net2-b16-g7-t60.pddl,7.930297136306763,NON_ROBUST_SINGLE_AGENT
sokoban-opt08-strips,p22.pddl,153.02932381629944,NON_ROBUST_SINGLE_AGENT
pipesworld-tankage,p07-net1-b12-g5-t80.pddl,5.733074903488159,NON_ROBUST_SINGLE_AGENT
pipesworld-tankage,p11-net2-b10-g2-t30.pddl,5.979221820831299,NON_ROBUST_SINGLE_AGENT
pipesworld-tankage,p45-net5-b26-g4-t50.pddl,14.906084299087524,NON_ROBUST_SINGLE_AGENT
